                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3848,                 4.2441,                 2.3619,                0.71677,                    0.5,                0.41716,                0.22456,                 1.7527,                 4.8142,                   1.77,             0.00018337,             0.00018337,             0.00018337
                      2,                 2.1722,                 3.1389,                 2.1391,                0.42117,                0.43677,                0.31313,                0.13209,                 2.2408,                  6.831,                  2.162,             0.00038303,             0.00038303,             0.00038303
                      3,                 2.1263,                 2.8265,                 2.0985,                0.01866,                0.15556,                0.01247,                0.00444,                 2.3043,                 69.953,                 2.5814,             0.00058229,             0.00058229,             0.00058229
                      4,                 2.2413,                 2.8226,                 2.2302,                0.00075,                0.13333,                0.00046,                0.00017,                 3.3281,                    inf,                 3.7392,             0.00078116,             0.00078116,             0.00078116
                      5,                 2.2174,                 2.6726,                 2.2172,                 0.0013,                0.12222,                 0.0009,                 0.0001,                 3.5174,                    inf,                  22.14,             0.00097964,             0.00097964,             0.00097964
                      6,                 2.2928,                 2.7185,                 2.2152,                0.00019,                0.03333,                 0.0001,                  5e-05,                 3.7229,                    inf,                 32.928,              0.0011777,              0.0011777,              0.0011777
                      7,                 2.4127,                 2.7694,                 2.3106,                0.00019,                0.03333,                 0.0001,                  5e-05,                    nan,                    nan,                    nan,              0.0013754,              0.0013754,              0.0013754
                      8,                  2.321,                 2.6321,                 2.2614,                 0.0024,                    0.2,                0.00148,                0.00048,                  4.119,                    inf,                 145.48,              0.0015727,              0.0015727,              0.0015727
                      9,                  2.308,                 2.5621,                 2.2959,                0.00156,                0.06667,                0.00082,                0.00016,                    nan,                    nan,                    nan,              0.0016538,              0.0016538,              0.0016538
                     10,                 2.2514,                 2.5304,                 2.2494,                0.00186,                0.11111,                 0.0012,                0.00039,                 4.2482,                    inf,                  44.65,              0.0016538,              0.0016538,              0.0016538
                     11,                 2.2426,                 2.6041,                 2.2442,                 0.0006,                0.05556,                0.00042,                0.00025,                 4.6296,                 1275.2,                 16.041,              0.0016521,              0.0016521,              0.0016521
                     12,                 2.2034,                 2.6589,                 2.2196,                0.00693,                0.31111,                0.00527,                0.00125,                 3.4554,                 502.71,                 7.4971,              0.0016505,              0.0016505,              0.0016505
                     13,                 2.1847,                    2.5,                  2.192,                0.00233,                    0.3,                0.00191,                 0.0008,                 3.2856,                    inf,                 40.666,              0.0016488,              0.0016488,              0.0016488
                     14,                 2.2065,                   2.58,                  2.229,                0.00561,                0.27778,                 0.0121,                0.00212,                  2.995,                    inf,                 6.8931,              0.0016472,              0.0016472,              0.0016472
                     15,                 2.1902,                  2.469,                 2.1831,                0.01348,                0.53333,                0.01129,                0.00277,                 2.9871,                 155.31,                 6.3859,              0.0016455,              0.0016455,              0.0016455
                     16,                 2.2148,                 2.3942,                 2.1337,                0.00674,                0.27778,                0.00405,                0.00137,                 2.7871,                 265.64,                 3.5873,              0.0016439,              0.0016439,              0.0016439
                     17,                 2.1956,                 2.3788,                 2.1425,                0.08134,                0.28889,                0.02897,                0.01269,                   2.59,                 14.484,                  3.052,              0.0016422,              0.0016422,              0.0016422
                     18,                  2.107,                 2.3807,                    2.1,                0.04919,                0.19589,                0.05795,                0.01762,                 2.4826,                 6.5741,                 2.6888,              0.0016406,              0.0016406,              0.0016406
                     19,                 2.1435,                 2.3818,                 2.0869,                0.08466,                0.17609,                0.04896,                0.02011,                 2.7658,                 7.6859,                 2.8918,              0.0016389,              0.0016389,              0.0016389
                     20,                 2.0564,                 2.1961,                 1.9907,                0.49879,                0.18889,                0.22991,                0.07775,                 2.5607,                  4.067,                  2.441,              0.0016373,              0.0016373,              0.0016373
                     21,                 2.0562,                 2.2656,                 2.0264,                0.71067,                    0.1,                0.10287,                0.03619,                 2.6522,                  4.968,                 2.7719,              0.0016356,              0.0016356,              0.0016356
                     22,                 2.1247,                 2.2793,                 2.1095,                0.25703,                0.17778,                0.10598,                0.05174,                 2.6362,                 4.0298,                 2.6109,               0.001634,               0.001634,               0.001634
                     23,                 2.0857,                 2.2167,                 2.0764,                 0.2743,                0.21111,                0.13354,                0.05556,                 2.6455,                 4.0797,                 2.4562,              0.0016323,              0.0016323,              0.0016323
                     24,                 1.9985,                  2.201,                 2.0401,                0.16211,                0.36667,                0.19606,                0.07481,                 2.3283,                 3.6412,                 2.2331,              0.0016307,              0.0016307,              0.0016307
                     25,                  2.012,                 2.2649,                 2.0372,                0.45698,                0.35556,                0.36617,                0.12858,                 2.3325,                 2.5947,                 2.1703,               0.001629,               0.001629,               0.001629
                     26,                 2.0692,                 2.2478,                 2.0532,                 0.1199,                0.16667,                0.14917,                0.04833,                 2.5387,                  4.154,                 2.5446,              0.0016274,              0.0016274,              0.0016274
                     27,                 2.0276,                 2.1574,                 2.0366,                0.24298,                0.27778,                0.22506,                0.08683,                 2.5648,                 4.5887,                 2.4664,              0.0016257,              0.0016257,              0.0016257
                     28,                 2.0292,                 2.2348,                 2.0909,                0.23399,                0.35556,                0.23247,                0.06873,                 2.5949,                 2.9184,                 2.5893,              0.0016241,              0.0016241,              0.0016241
                     29,                 2.0169,                 2.1364,                 2.0362,                0.43063,                0.53651,                0.36224,                0.11473,                 2.2534,                 2.8871,                 2.2036,              0.0016224,              0.0016224,              0.0016224
                     30,                 2.0447,                  2.174,                 2.0275,                0.30073,                0.47557,                0.33787,                0.12307,                 2.1778,                  2.397,                 2.0703,              0.0016208,              0.0016208,              0.0016208
                     31,                 2.0313,                 2.1767,                 1.9948,                0.21862,                0.52222,                0.32222,                0.12917,                 2.2711,                  2.626,                 2.0996,              0.0016191,              0.0016191,              0.0016191
                     32,                 2.0663,                 2.1152,                 1.9803,                0.35408,                0.43333,                0.33061,                0.08964,                 2.5006,                 2.7896,                 2.2652,              0.0016175,              0.0016175,              0.0016175
                     33,                 1.9436,                 2.1078,                  1.954,                0.45479,                0.30694,                0.30352,                0.09458,                 2.2685,                 2.7148,                 2.2046,              0.0016158,              0.0016158,              0.0016158
                     34,                 2.0025,                 2.0229,                  1.936,                0.26871,                0.45556,                0.30171,                0.12257,                 2.3578,                 2.4549,                 2.2106,              0.0016142,              0.0016142,              0.0016142
                     35,                 1.9304,                 1.9767,                 1.9382,                0.49721,                0.35556,                0.39581,                0.14684,                 2.4504,                 2.3389,                 2.2378,              0.0016125,              0.0016125,              0.0016125
                     36,                 1.9486,                 2.0391,                 1.9627,                0.29808,                0.36667,                 0.3464,                0.12012,                 2.2062,                 2.4187,                 2.0556,              0.0016109,              0.0016109,              0.0016109
                     37,                 1.9664,                 1.9922,                 1.9672,                0.34412,                0.34444,                0.27504,                0.12531,                 2.1289,                 2.3196,                 2.0069,              0.0016092,              0.0016092,              0.0016092
                     38,                 1.9103,                 1.9461,                 1.9384,                0.27482,                0.34444,                 0.2911,                0.13245,                 2.0841,                 2.5091,                 1.9144,              0.0016076,              0.0016076,              0.0016076
                     39,                 1.9381,                 2.0047,                 1.9517,                0.30059,                    0.4,                0.26224,                0.10119,                   2.34,                 2.8006,                 2.1948,              0.0016059,              0.0016059,              0.0016059
                     40,                 1.9253,                 1.9612,                 1.9058,                0.34692,                0.38889,                0.24145,                 0.1059,                 2.2044,                   2.75,                 2.1127,              0.0016043,              0.0016043,              0.0016043
                     41,                 1.9029,                 1.9839,                 1.9267,                0.22091,                0.23333,                0.23842,                0.09383,                 2.3765,                 2.7319,                 2.2978,              0.0016026,              0.0016026,              0.0016026
                     42,                 1.8695,                 1.9782,                 1.8852,                0.43867,                0.42222,                0.39616,                0.19522,                 1.9714,                 2.3372,                 1.8872,               0.001601,               0.001601,               0.001601
                     43,                 1.8716,                 2.0231,                 1.9187,                0.30504,                0.57778,                0.33144,                0.15675,                  2.021,                 2.3268,                 1.9295,              0.0015993,              0.0015993,              0.0015993
                     44,                 1.8759,                 1.9439,                 1.8904,                0.22856,                0.46493,                0.25362,                 0.1169,                 2.0859,                 2.6106,                 1.9814,              0.0015977,              0.0015977,              0.0015977
                     45,                 1.9063,                  1.959,                 1.9149,                0.38754,                0.47778,                0.39289,                0.15821,                 1.9284,                 2.2995,                 1.9305,               0.001596,               0.001596,               0.001596
                     46,                 1.8966,                 1.9418,                 1.9228,                0.25712,                0.52222,                0.41093,                0.17755,                 2.0175,                 2.1691,                 1.9542,              0.0015944,              0.0015944,              0.0015944
                     47,                 1.8094,                 1.8784,                 1.8457,                0.39394,                0.56625,                0.36283,                0.18114,                 1.9158,                 2.1235,                 1.8728,              0.0015927,              0.0015927,              0.0015927
                     48,                 1.8554,                 1.8715,                 1.8446,                0.24426,                0.36667,                0.23433,                0.10959,                 2.1649,                 2.7749,                  2.138,              0.0015911,              0.0015911,              0.0015911
                     49,                 1.8595,                  1.947,                  1.887,                0.31239,                    0.4,                0.27527,                0.14805,                 2.0535,                 2.6006,                 2.0344,              0.0015894,              0.0015894,              0.0015894
                     50,                  1.802,                 1.8172,                  1.819,                0.28355,                0.43944,                0.25964,                 0.1293,                 2.0333,                 2.4462,                 2.0558,              0.0015878,              0.0015878,              0.0015878
                     51,                 1.8477,                 1.9536,                  1.866,                 0.3616,                0.35556,                0.26239,                0.08499,                 2.1243,                 2.4191,                 2.1002,              0.0015861,              0.0015861,              0.0015861
                     52,                 1.7856,                 1.8852,                 1.8364,                0.40053,                0.40852,                0.31373,                0.12504,                 2.1176,                  2.371,                 2.0426,              0.0015845,              0.0015845,              0.0015845
                     53,                 1.8332,                 1.8086,                  1.836,                0.15621,                0.28831,                0.20087,                0.08315,                 2.1199,                 2.7486,                 2.1289,              0.0015828,              0.0015828,              0.0015828
                     54,                 1.9006,                 1.9417,                 1.8918,                 0.2671,                0.46313,                0.33443,                0.13951,                 2.0206,                 2.2489,                 2.0606,              0.0015812,              0.0015812,              0.0015812
                     55,                  1.796,                  1.763,                 1.8162,                0.45785,                    0.3,                0.35361,                0.12756,                 2.2555,                 2.4369,                  2.131,              0.0015795,              0.0015795,              0.0015795
                     56,                 1.8232,                 1.8319,                 1.8401,                0.24971,                0.32931,                0.22745,                0.09056,                 2.4943,                 2.7905,                 2.2828,              0.0015779,              0.0015779,              0.0015779
                     57,                 1.8029,                 1.8261,                 1.8255,                0.69751,                0.41674,                0.51498,                0.20458,                 2.1941,                 2.3231,                 2.0954,              0.0015762,              0.0015762,              0.0015762
                     58,                 1.8209,                 1.7653,                 1.8199,                0.33616,                0.60358,                0.42181,                0.15144,                 2.0464,                   2.31,                 2.0076,              0.0015746,              0.0015746,              0.0015746
                     59,                 1.8128,                 1.7446,                 1.8184,                0.36976,                0.35556,                0.38747,                0.16666,                  2.286,                 2.3457,                 2.1812,              0.0015729,              0.0015729,              0.0015729
                     60,                 1.7517,                 1.7834,                 1.7769,                 0.4584,                0.42222,                0.37977,                0.16386,                 2.1497,                 2.3721,                 2.0492,              0.0015713,              0.0015713,              0.0015713
                     61,                 1.7903,                 1.6992,                 1.7656,                0.51598,                    0.6,                0.50366,                0.21004,                 2.0705,                 2.3253,                 1.9419,              0.0015696,              0.0015696,              0.0015696
                     62,                 1.7539,                 1.7254,                 1.7584,                0.82757,                0.46561,                0.53799,                0.22427,                 2.1748,                 2.0077,                 1.9605,               0.001568,               0.001568,               0.001568
                     63,                 1.7659,                 1.6957,                 1.7461,                0.55668,                0.38999,                 0.4584,                0.15971,                 2.1038,                 2.2986,                 1.9975,              0.0015663,              0.0015663,              0.0015663
                     64,                  1.718,                 1.7293,                 1.7774,                0.43503,                0.62222,                0.49563,                0.18885,                 1.9987,                 2.1328,                 1.9176,              0.0015647,              0.0015647,              0.0015647
                     65,                 1.7291,                 1.6662,                 1.7344,                0.34722,                0.48171,                0.42971,                0.14995,                 2.2087,                 2.0898,                  1.971,               0.001563,               0.001563,               0.001563
                     66,                 1.7053,                  1.682,                 1.7477,                0.47671,                0.52222,                  0.446,                0.16206,                 2.2245,                  1.902,                 1.9827,              0.0015614,              0.0015614,              0.0015614
                     67,                 1.7146,                 1.7128,                 1.7686,                0.52632,                0.68889,                0.56228,                0.22584,                 2.1204,                 1.9675,                 1.9358,              0.0015597,              0.0015597,              0.0015597
                     68,                 1.7387,                 1.6279,                 1.7703,                0.37856,                0.68889,                0.43245,                0.17886,                 2.1231,                 2.2196,                 2.0311,              0.0015581,              0.0015581,              0.0015581
                     69,                 1.6915,                 1.6031,                 1.7339,                0.43787,                0.38889,                0.36373,                0.16664,                 2.1242,                 2.3639,                 2.0442,              0.0015564,              0.0015564,              0.0015564
                     70,                 1.7521,                 1.6444,                 1.7806,                0.62661,                0.34288,                0.39524,                0.16157,                 2.3229,                  2.326,                 2.2159,              0.0015548,              0.0015548,              0.0015548
                     71,                 1.7593,                 1.6477,                 1.7599,                0.32366,                0.43333,                0.32963,                0.11969,                  2.271,                  2.431,                 2.1836,              0.0015531,              0.0015531,              0.0015531
                     72,                  1.672,                  1.689,                 1.7441,                0.50298,                0.63289,                0.47704,                0.19711,                 2.1434,                 1.8777,                 2.0933,              0.0015515,              0.0015515,              0.0015515
                     73,                 1.7001,                 1.6291,                 1.7237,                 0.5265,                0.54444,                0.52322,                0.22526,                 2.0499,                 1.7624,                 2.0171,              0.0015498,              0.0015498,              0.0015498
                     74,                 1.7288,                 1.5532,                 1.7216,                 0.5555,                0.44284,                0.40718,                0.18267,                 2.1567,                 2.1886,                 2.2198,              0.0015482,              0.0015482,              0.0015482
                     75,                 1.6709,                 1.6257,                 1.7429,                0.34006,                0.53333,                0.33642,                0.13269,                  2.303,                 2.3349,                 2.1963,              0.0015465,              0.0015465,              0.0015465
                     76,                 1.7783,                 1.6722,                  1.776,                0.47864,                0.56667,                0.44034,                0.16211,                   2.25,                 2.3954,                 2.1357,              0.0015449,              0.0015449,              0.0015449
                     77,                 1.6886,                 1.6117,                 1.7228,                0.44321,                0.53333,                0.32807,                0.11413,                 2.3897,                 2.5348,                 2.2247,              0.0015432,              0.0015432,              0.0015432
                     78,                 1.6746,                 1.5593,                 1.7413,                0.61669,                0.33333,                0.34959,                0.13275,                 2.4654,                 2.4551,                 2.3219,              0.0015416,              0.0015416,              0.0015416
                     79,                 1.7096,                 1.6171,                 1.7723,                0.41591,                0.51111,                0.36403,                0.15353,                 2.1327,                 2.2363,                  2.018,              0.0015399,              0.0015399,              0.0015399
                     80,                 1.6917,                 1.5268,                 1.7043,                0.42975,                0.50661,                0.40211,                0.18304,                 2.0549,                 2.3667,                 1.9648,              0.0015383,              0.0015383,              0.0015383
                     81,                 1.6915,                 1.5398,                  1.732,                0.43517,                0.51111,                 0.3911,                0.16098,                 2.2233,                 2.4926,                 2.0657,              0.0015366,              0.0015366,              0.0015366
                     82,                 1.7029,                 1.5008,                  1.739,                0.45037,                0.44444,                0.34945,                0.13844,                  2.335,                 2.5179,                 2.1399,               0.001535,               0.001535,               0.001535
                     83,                 1.6873,                 1.5659,                 1.7346,                0.60412,                0.45556,                 0.4929,                0.16007,                 2.2347,                 2.1822,                 2.0002,              0.0015333,              0.0015333,              0.0015333
                     84,                 1.6752,                 1.5266,                  1.721,                 0.5416,                0.34556,                0.40116,                0.16322,                 2.1397,                  2.124,                 1.9574,              0.0015317,              0.0015317,              0.0015317
                     85,                 1.6212,                 1.4638,                 1.7087,                0.52126,                0.47461,                0.42365,                0.20994,                 1.9358,                 2.1142,                 1.8227,                0.00153,                0.00153,                0.00153
                     86,                 1.6546,                 1.5349,                 1.7189,                0.51348,                0.58889,                 0.4495,                0.22794,                 2.0076,                 2.1815,                 1.8781,              0.0015284,              0.0015284,              0.0015284
                     87,                 1.6662,                  1.531,                 1.6939,                0.49486,                0.43626,                0.47867,                  0.171,                 2.1341,                 2.3357,                 1.9258,              0.0015267,              0.0015267,              0.0015267
                     88,                 1.6163,                 1.4494,                 1.6685,                0.46679,                0.52222,                0.47759,                0.22012,                 2.0963,                 2.4272,                 1.9268,              0.0015251,              0.0015251,              0.0015251
                     89,                 1.6115,                 1.4239,                 1.6557,                0.44037,                    0.5,                0.38924,                0.16665,                 2.1198,                 2.3716,                 1.9804,              0.0015234,              0.0015234,              0.0015234
                     90,                 1.6198,                 1.5069,                 1.6815,                0.38496,                0.34708,                 0.3133,                0.13547,                 2.1489,                 2.3137,                 2.0119,              0.0015218,              0.0015218,              0.0015218
                     91,                 1.5941,                 1.4906,                 1.6622,                0.35253,                0.43333,                0.38994,                0.19153,                 2.0467,                 2.1514,                 1.9539,              0.0015201,              0.0015201,              0.0015201
                     92,                 1.5792,                 1.4459,                 1.6397,                0.46223,                0.41111,                 0.4129,                0.17503,                 2.0683,                 2.1352,                  1.952,              0.0015185,              0.0015185,              0.0015185
                     93,                 1.6048,                 1.4496,                 1.6622,                0.71044,                0.27428,                0.42226,                0.18049,                 2.2645,                 2.6351,                 2.1684,              0.0015168,              0.0015168,              0.0015168
                     94,                 1.6367,                 1.4708,                 1.7053,                0.41919,                0.42082,                0.43757,                0.19168,                 2.1736,                 3.0183,                 2.0555,              0.0015152,              0.0015152,              0.0015152
                     95,                 1.6076,                 1.5078,                  1.675,                0.55132,                0.51111,                 0.5542,                0.19037,                 2.0697,                 2.5406,                 1.9269,              0.0015135,              0.0015135,              0.0015135
                     96,                 1.6083,                 1.5179,                 1.6809,                0.48087,                0.46667,                0.45798,                0.16403,                 2.2612,                 2.5261,                 2.1435,              0.0015119,              0.0015119,              0.0015119
                     97,                 1.5888,                 1.4402,                 1.6726,                0.42884,                0.42284,                0.38917,                0.19156,                 2.1875,                 2.7423,                 1.9683,              0.0015102,              0.0015102,              0.0015102
                     98,                 1.6509,                 1.4613,                 1.6885,                0.33642,                0.47778,                0.38558,                0.17064,                 2.2492,                 2.6077,                   2.07,              0.0015086,              0.0015086,              0.0015086
                     99,                  1.624,                 1.4316,                 1.6545,                0.37028,                0.36667,                0.38248,                0.18123,                 2.2077,                 2.4602,                 1.9809,              0.0015069,              0.0015069,              0.0015069
                    100,                 1.5917,                 1.3989,                 1.6444,                0.38734,                0.53333,                0.45935,                0.22134,                  2.111,                  2.199,                 1.9509,              0.0015053,              0.0015053,              0.0015053
                    101,                 1.6158,                 1.4546,                  1.655,                0.35583,                0.42438,                0.40078,                0.16977,                 2.2849,                 2.3134,                  2.016,              0.0015036,              0.0015036,              0.0015036
                    102,                 1.6099,                 1.4616,                 1.6674,                0.42073,                0.53333,                0.40965,                 0.1657,                 2.2275,                 2.1276,                 2.0703,               0.001502,               0.001502,               0.001502
                    103,                 1.5298,                 1.3589,                 1.6403,                0.37687,                0.53333,                0.45968,                0.21512,                  2.218,                 2.2326,                 2.1118,              0.0015003,              0.0015003,              0.0015003
                    104,                 1.5472,                 1.4476,                 1.6225,                0.22627,                0.53333,                 0.2965,                0.11348,                 2.4106,                 2.4493,                 2.3738,              0.0014987,              0.0014987,              0.0014987
                    105,                 1.5496,                 1.3265,                 1.5983,                0.36373,                0.51455,                0.29362,                0.11494,                 2.2852,                 2.4287,                 2.1587,               0.001497,               0.001497,               0.001497
                    106,                  1.538,                 1.3084,                  1.611,                0.59352,                0.49277,                0.49741,                 0.1901,                 2.2458,                 2.1871,                   2.19,              0.0014954,              0.0014954,              0.0014954
                    107,                   1.57,                  1.433,                 1.6288,                0.51914,                0.36572,                0.38527,                0.17599,                 2.2317,                 2.1749,                 2.1889,              0.0014937,              0.0014937,              0.0014937
